Year,Auto95_USA,Auto_95_Germany,Auto_95_France,Auto_95_GB,Auto_95_Japan
1963,0.11373390557939914,0.13615023474178403,0.10539845758354756,0.08115183246073299,0.14893617021276595
1964,0.11414634146341464,0.13151563753007217,0.11241217798594848,0.08695652173913043,0.23880597014925373
1965,0.11582491582491583,0.13470790378006872,0.1387434554973822,0.10211946050096339,0.14084507042253522
1966,0.12324649298597194,0.10979618671926364,0.09706959706959707,0.13569321533923304,0.1346153846153846
1967,0.11642050390964379,0.11995577667219458,0.12214983713355049,0.1164021164021164,0.1094224924012158
1968,0.13705179282868526,0.11002132196162047,0.09815950920245399,0.11024643320363164,0.10364145658263306
1969,0.1450350226617223,0.10182303245887062,0.13259668508287292,0.1142433234421365,0.1401151631477927
1970,0.13124708080336292,0.09516041326808047,0.08506616257088846,0.07283464566929133,0.15354330708661418
1971,0.13559322033898305,0.12,0.11789181692094314,0.1048951048951049,0.17256637168141592
1972,0.1366961879091259,0.11975051975051976,0.13085106382978723,0.11026200873362445,0.19383825417201542
1973,0.13868343195266272,0.11216105176663928,0.14688601645123384,0.13349514563106796,0.17531120331950206
1974,0.1304791029561672,0.12168141592920353,0.1445929526123937,0.1389290882778582,0.18017057569296374
1975,0.11689444605990114,0.12805872756933115,0.12941176470588237,0.1032171581769437,0.187374749498998
1976,0.12827302147690497,0.1366120218579235,0.12686567164179105,0.10578279266572638,0.1903930131004367
1977,0.13476680799515445,0.15096668037844507,0.14785992217898833,0.12099644128113879,0.19911894273127753
1978,0.12608426270136308,0.14831552999178307,0.11870967741935484,0.12,0.19553903345724907
1979,0.12243648607284971,0.14119414194517463,0.15822784810126583,0.0967741935483871,0.18753894080996886
1980,0.13632232656770676,0.1332300542215337,0.13927227101631118,0.12335526315789473,0.2225103734439834
1981,0.13785885167464115,0.14629488158899923,0.15601023017902813,0.11196319018404909,0.2355855855855856
1982,0.1524701873935264,0.15129573170731708,0.1841109709962169,0.15736766809728184,0.2578125
1983,0.15294787809740815,0.16520826041302064,0.17044100119189512,0.13254113345521024,0.23128980891719744
1984,0.15329306873741733,0.16124519062609305,0.15180722891566265,0.13426573426573427,0.21265822784810126
1985,0.1395007342143906,0.18096514745308312,0.1706758304696449,0.13595933926302414,0.21255506607929514
1986,0.13879408418657566,0.15646687697160883,0.15806805708013172,0.13078703703703703,0.19844105228970446
1987,0.1441908713692946,0.15522643121617774,0.14299610894941633,0.1152073732718894,0.21597462514417531
1988,0.12602805999032415,0.16204869857262805,0.18399264029438822,0.1251303441084463,0.2175531914893617
1989,0.12231807122318071,0.15776892430278885,0.15961199294532627,0.13142292490118576,0.23017308189098423
1990,0.12787507913061827,0.15713492504164353,0.16556291390728478,0.1106145251396648,0.21762030165190327
1991,0.12696517412935324,0.1534376746785914,0.1685823754789272,0.11273957158962795,0.22028841372451516
1992,0.12162424713425296,0.15849546044098572,0.14853556485355648,0.12631578947368421,0.20223260643821392
1993,0.12357693720161586,0.14763729246487867,0.12585365853658537,0.0968421052631579,0.19985621854780733
1994,0.12589991220368746,0.1431013431013431,0.131,0.08626198083067092,0.1912888436067244
1995,0.12844036697247707,0.15188633023027928,0.10104861773117255,0.09483667017913593,0.18295171163001586
1996,0.12943889315910836,0.15833903718913986,0.1075,0.09877704609595485,0.1987901543596162
1997,0.11715421755183186,0.15590008613264428,0.09456264775413711,0.09082969432314411,0.18689274147456658
1998,0.12672026161602398,0.15470895378070007,0.1358695652173913,0.11263972484952708,0.19727237802535535
1999,0.14556472408457968,0.15976665412118932,0.11813759555246699,0.10829103214890017,0.17321368100237047
2000,0.1535036325287087,0.1761986301369863,0.13449163449163448,0.12548113933795227,0.19489753241321622
2001,0.15908409159084091,0.19305745554035567,0.12350597609561753,0.1402961808261886,0.20181284990669154
2002,0.17203389830508475,0.19166523161701396,0.14116915422885573,0.10899390243902439,0.1888111888111888
2003,0.17736502742758156,0.2031400192246075,0.17863105175292154,0.1282051282051282,0.19704161607241416
2004,0.1949289867505481,0.22239285215691748,0.18105986261040236,0.13337670787247885,0.2142364192053633
2005,0.20647135175227146,0.22465789823302776,0.20691333982473223,0.15861130020422057,0.20277374909354604
2006,0.21115717375630857,0.22832707010496306,0.22310944105213715,0.16731016731016732,0.204135043182413
2007,0.20751825475525107,0.23388116308470291,0.20829576194770064,0.18610271903323264,0.2117929135955954
2008,0.21467764060356653,0.23793917147351862,0.2256478999106345,0.1702127659574468,0.2019888696286835
2009,0.2176228272882548,0.23699648025029332,0.20116748989672203,0.15699658703071673,0.19159142212189617
2010,0.21633533383345838,0.23974053481599153,0.1914506593906321,0.16271186440677965,0.20076133730552798
2011,0.21336438552490147,0.23637640449438202,0.21583775953645581,0.1581670362158167,0.1998876133900618
2012,0.22296586671765944,0.2560995314267248,0.19520718921617575,0.18711923411662315,0.21459398976982097
2013,0.23434897619280887,0.27126984126984127,0.21504802561366063,0.2112676056338028,0.2238970878383711
2014,0.2697734499205087,0.28414674091057973,0.24407826982492276,0.2215568862275449,0.24765085035334317
2015,0.2971446501411986,0.3127235564639755,0.2457627118644068,0.2632612966601179,0.24724724724724725
